datetime,strategy,layer,optimizer,seed,n_trials,n_variants,n_signals,pair,main_tf,sub_tf,bt_per_sec,runtime_s,trades,win_rate_pct,total_pips,expectancy_pips,max_dd_pct,profit_factor,sharpe,return_pct,quality,best_variant_id,best_variant_family,run_file
2026-04-19 14:11:33,complex01,complex01_random,random,42,200,66,294471,EUR_USD,H1,M1,808.0,0.71,894,17.785,1617.4,1.809,15.919,1.2751,0.5499,6654.79,0.8112,5,ema_cross,complex01_random_20260419_141133.npz
2026-04-19 14:13:00,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,203,323962,EUR_USD,H1,M1,151.0,14.33,871,19.862,3028.3,3.477,23.202,1.1683,0.4372,12113.2,0.6249,127,ema_cross,complexity_L10_EUR_USD_H1_20260419_141300.npz
2026-04-19 14:17:32,complexity_L6_AUD_CAD_H1,complexity_L6_AUD_CAD_H1,random,42,200,1530,9722324,AUD_CAD,H1,M15,776.0,15.77,54,25.926,575.1,10.65,18.008,1.9005,0.3798,4069.24,0.1957,182,ema_cross,complexity_L6_AUD_CAD_H1_20260419_141732.npz
2026-04-19 14:24:28,complexity_L10_AUD_CAD_H1,complexity_L10_AUD_CAD_H1,random,42,2000,1915,10378611,AUD_CAD,H1,M1,6.0,354.44,1793,45.678,-8290.5,-4.624,104.721,0.7228,-1.2368,-20757.02,0.0,170,ema_cross,complexity_L10_AUD_CAD_H1_20260419_142425.npz
2026-04-19 14:31:06,complexity_L10_AUD_CAD_H1,complexity_L10_AUD_CAD_H1,random,42,100,1915,10374188,AUD_CAD,H1,M15,687.0,15.59,1792,46.429,-5171.5,-2.886,113.02,0.8145,-0.7751,-12944.29,0.0,170,ema_cross,complexity_L10_AUD_CAD_H1_20260419_143106.npz
2026-04-19 16:31:27,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,1915,9983187,EUR_USD,H1,M1,45.0,68.1,981,20.999,2300.4,2.345,32.597,1.143,0.4106,11502.25,0.4072,660,ema_cross,complexity_L10_EUR_USD_H1_20260419_163125.npz
2026-04-19 17:06:17,complex01,complex01_random,random,42,100,66,294471,EUR_USD,H1,M1,550.0,0.85,894,17.785,1617.4,1.809,15.919,1.2751,0.5499,6654.79,0.8112,5,ema_cross,complex01_random_20260419_170617.npz
2026-04-19 17:29:02,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,1915,9983187,EUR_USD,H1,M1,39.0,55.0,981,20.999,2300.4,2.345,32.597,1.143,0.4106,11502.25,0.4072,660,ema_cross,complexity_L10_EUR_USD_H1_20260419_172900.npz
2026-04-19 17:31:35,complex01,complex01_random,random,42,20,66,294471,EUR_USD,H1,M1,459.0,0.58,1197,76.525,226.3,0.189,103.212,1.0244,0.0868,684.94,0.0092,25,ema_cross,complex01_random_20260419_173135.npz
2026-04-19 17:38:04,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,1915,9983187,EUR_USD,H1,M1,44.0,50.11,981,20.999,2300.4,2.345,32.597,1.143,0.4106,11502.25,0.1697,660,ema_cross,complexity_L10_EUR_USD_H1_20260419_173756.npz
2026-04-19 17:55:14,complexity_L4_EUR_USD_H1,chandelier_off_300,random,42,300,723,4778148,EUR_USD,H1,M1,1496.0,17.63,29,100.0,318.2,10.972,0.0,10.0,2.2515,334.95,3.2776,100,ema_cross,chandelier_off_300_20260419_175514.npz
2026-04-19 17:55:18,complexity_L4_EUR_USD_H1,chandelier_on_300,random,42,300,723,4778148,EUR_USD,H1,M1,1350.0,0.76,29,100.0,318.2,10.972,0.0,10.0,2.2515,334.95,3.2776,100,ema_cross,chandelier_on_300_20260419_175518.npz
2026-04-19 17:58:33,complexity_L5_EUR_USD_H1,chandelier_off_500,random,42,500,1530,9391117,EUR_USD,H1,M1,763.0,23.9,356,57.022,2806.4,7.883,16.837,1.359,0.5511,3118.17,0.5305,1335,macd_cross,chandelier_off_500_20260419_175832.npz
2026-04-19 17:58:37,complexity_L5_EUR_USD_H1,chandelier_on_500,random,42,500,1530,9391117,EUR_USD,H1,M1,943.0,1.43,421,38.005,2414.7,5.736,15.752,1.4391,0.5982,2840.85,0.7718,502,macd_cross,chandelier_on_500_20260419_175837.npz
2026-04-19 18:21:15,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,3556,12732975,EUR_USD,H1,M1,279.0,9.7,186,76.882,2717.7,14.611,10.447,1.893,1.0316,3882.37,0.2759,626,ema_cross,complexity_L10_EUR_USD_H1_20260419_182114.npz
2026-04-19 18:24:05,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,10000,3556,12732975,EUR_USD,H1,M1,109.0,100.66,189,44.974,1395.4,7.383,15.652,1.5209,0.5663,4134.54,0.5567,2647,macd_cross,complexity_L10_EUR_USD_H1_20260419_182356.npz
2026-04-19 18:32:51,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,3556,12732975,EUR_USD,H1,M1,218.0,10.99,186,76.882,2717.7,14.611,10.447,1.893,1.0316,3882.37,0.2759,626,ema_cross,complexity_L10_EUR_USD_H1_20260419_183249.npz
2026-04-19 19:44:21,complex01,complex01_random,random,42,100,66,294471,EUR_USD,H1,M1,672.0,0.62,180,68.333,660.3,3.668,49.931,1.2876,0.3672,899.01,0.0446,64,donchian,complex01_random_20260419_194421.npz
2026-04-19 19:44:26,complex01,complex01_random,random,42,100,66,294471,EUR_USD,H1,M1,678.0,0.79,180,68.333,660.3,3.668,49.931,1.2876,0.3672,899.01,0.0446,64,donchian,complex01_random_20260419_194426.npz
2026-04-19 20:18:17,complex01,golden,random,42,500,66,294471,EUR_USD,H1,M1,1085.0,0.92,181,72.928,1285.3,7.101,20.566,1.5336,0.5213,1832.35,0.085,17,ema_cross,golden_20260419_201817.npz
2026-04-19 20:18:32,complex01,golden,random,42,500,66,294471,EUR_USD,H1,M1,1136.0,0.97,181,72.928,1285.3,7.101,20.566,1.5336,0.5213,1832.35,0.085,17,ema_cross,golden_20260419_201832.npz
2026-04-19 20:18:38,complex01,golden,random,42,500,66,294471,EUR_USD,H1,M1,1157.0,0.92,181,72.928,1285.3,7.101,20.566,1.5336,0.5213,1832.35,0.085,17,ema_cross,golden_20260419_201838.npz
2026-04-19 20:25:10,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,99,2000,3556,12732975,EUR_USD,H1,M1,226.0,10.92,300,71.667,633.8,2.113,20.119,1.3552,0.5221,2800.0,0.2248,2134,ema_cross,complexity_L10_EUR_USD_H1_20260419_202509.npz
2026-04-19 20:32:01,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,99,2000,95,153503,EUR_USD,H1,M1,128.0,16.32,1661,50.03,6452.5,3.885,28.682,1.1005,0.4456,8352.1,0.1202,85,ema_cross,complexity_L10_EUR_USD_H1_20260419_203200.npz
2026-04-20 08:29:14,complex01,golden,random,42,500,66,294471,EUR_USD,H1,M1,1146.0,0.92,181,72.928,1285.3,7.101,20.566,1.5336,0.5213,1832.35,0.085,17,ema_cross,golden_20260420_082914.npz
2026-04-20 09:13:32,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,2000,2736,11359962,EUR_USD,H1,M1,117.0,49.46,177,48.023,2313.6,13.071,12.308,1.6385,0.7263,3427.54,0.3771,1019,ema_cross,complexity_L10_EUR_USD_H1_20260420_091327.npz
2026-04-20 09:16:00,complexity_L10_AUD_CAD_H1,complexity_L10_AUD_CAD_H1,random,42,2000,2736,11791944,AUD_CAD,H1,M1,157.0,39.85,60,46.667,179.4,2.989,38.7,1.3174,0.1854,459.9,0.008,640,ema_cross,complexity_L10_AUD_CAD_H1_20260420_091555.npz
2026-04-20 10:58:14,complexity_L3_EUR_USD_H1,complexity_L3_EUR_USD_H1,random,42,50,723,277375,EUR_USD,H1,M1,83.0,10.8,29,55.172,622.8,21.477,21.202,2.2614,2.1629,1502.73,0.0719,200,macd_cross,complexity_L3_EUR_USD_H1_20260420_105814.npz
2026-04-20 12:59:50,complexity_L3_GBP_USD_H1,complexity_L3_GBP_USD_H1,random,42,50,723,284166,GBP_USD,H1,M1,16882.0,10.25,30,70.0,1421.4,47.38,17.092,2.9508,3.113,1776.75,0.1981,408,macd_cross,complexity_L3_GBP_USD_H1_20260420_125950.npz
2026-04-20 18:05:09,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,1465.0,0.45,33,18.182,356.4,10.8,24.048,4.2588,1.7672,454.53,0.4985,3,ema_cross,golden_20260420_180509.npz
2026-04-20 18:31:13,complexity_L10_EUR_USD_M15,complexity_L10_EUR_USD_M15,random,42,2000,4487,3742747,EUR_USD,M15,M1,763.0,14.91,324,28.086,4394.5,13.563,16.947,1.559,2.8165,12887.68,1.1641,1070,ema_cross,complexity_L10_EUR_USD_M15_20260420_183113.npz
2026-04-20 18:37:12,complexity_L10_EUR_USD_M15,complexity_L10_EUR_USD_M15,random,42,2000,4487,933396,EUR_USD,M15,M1,3552.0,12.25,228,38.596,1933.1,8.479,13.329,1.6215,4.5852,5685.64,1.8455,4018,macd_cross,complexity_L10_EUR_USD_M15_20260420_183712.npz
2026-04-20 18:46:02,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,1546.0,0.46,33,18.182,356.4,10.8,24.048,4.2588,1.7672,454.53,0.4985,3,ema_cross,golden_20260420_184602.npz
2026-04-20 18:46:23,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,1472.0,0.44,33,18.182,356.4,10.8,24.048,4.2588,1.7672,454.53,0.4985,3,ema_cross,golden_20260420_184623.npz
2026-04-20 19:59:48,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,1429.0,0.46,33,18.182,356.4,10.8,24.048,4.2588,1.7672,454.53,0.4985,3,ema_cross,golden_20260420_195948.npz
2026-04-20 20:04:45,baseline_v2,baseline_v2_random,random,42,5,1,134,EUR_USD,H1,M1,25.0,0.31,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,baseline_v2_random_20260420_200445.npz
2026-04-20 20:08:48,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,26.0,0.29,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_200848.npz
2026-04-20 20:30:17,baseline_v2,baseline_v2_random,random,42,5,1,134,EUR_USD,H1,M1,2258.0,0.11,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,baseline_v2_random_20260420_203017.npz
2026-04-20 20:30:59,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,13956.0,0.17,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_203059.npz
2026-04-20 20:32:01,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,14558.0,0.28,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_203201.npz
2026-04-20 20:32:08,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,1137.0,0.06,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_203208.npz
2026-04-20 20:32:31,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,11704.0,0.27,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_203231.npz
2026-04-20 20:33:20,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,12202.0,0.28,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_203320.npz
2026-04-20 20:33:29,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,1270.0,0.17,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_203329.npz
2026-04-20 20:38:45,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,6617.0,0.46,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_203845.npz
2026-04-20 20:39:11,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,600.0,0.24,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_203911.npz
2026-04-20 20:41:23,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,14242.0,0.26,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_204123.npz
2026-04-20 20:41:31,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,1725.0,0.09,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_204131.npz
2026-04-20 20:49:46,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,13441.0,0.26,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_204946.npz
2026-04-20 20:49:55,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,1230.0,0.16,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_204955.npz
2026-04-20 20:56:02,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,6109.0,0.44,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260420_205602.npz
2026-04-20 20:56:31,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,574.0,0.26,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260420_205631.npz
2026-04-20 21:00:19,complex01,parity_calib_EUR_USD,random,42,50,66,685,EUR_USD,H1,M1,104888.0,0.12,24,66.667,226.1,9.422,11.614,3.1771,10.9524,970.77,0.3657,37,macd_cross,parity_calib_EUR_USD_20260420_210019.npz
2026-04-20 21:00:57,complex01,parity_calib_EUR_USD,random,42,50,66,685,EUR_USD,H1,M1,153799.0,0.11,24,66.667,226.1,9.422,11.614,3.1771,10.9524,970.77,0.3657,37,macd_cross,parity_calib_EUR_USD_20260420_210057.npz
